fecha,ciudad,producto,categoria,unidades,precio_unitario,descuento_pct,ventas,costo_total,satisfaccion
2025-04-09,Cusco,Mouse,Accesorios,8,94.76,5,720.18,403.84,3.8
2025-04-10,Lima,Mouse,Accesorios,4,96.89,10,348.8,206.86,4.8
2025-04-11,Cusco,Laptop,Tecnología,7,3182.53,15,18936.05,16769.02,3.9
2025-04-12,Arequipa,Teclado,Accesorios,5,182.39,0,911.95,514.16,4.1
2025-04-13,Arequipa,Parlante,Audio,7,319.75,15,1902.51,1341.68,4.4
2025-04-14,Trujillo,Laptop,Tecnología,3,3162.25,10,8538.08,7314.92,3.9
2025-04-15,Lima,Mouse,Accesorios,8,93.94,20,601.22,424.98,3.6
2025-04-16,Lima,Monitor,Tecnología,6,859.02,5,4896.41,3693.46,4.3
2025-04-17,Arequipa,Laptop,Tecnología,8,3264.35,5,24809.06,19940.18,4.2
2025-04-18,Cusco,Mouse,Accesorios,5,94.62,0,473.1,255.5,4.1
2025-04-19,Lima,Laptop,Tecnología,8,3275.49,0,26203.92,19359.48,3.8
2025-04-20,Lima,Parlante,Audio,6,321.03,0,1926.18,1125.0,4.5
2025-04-21,Lima,Teclado,Accesorios,7,185.33,10,1167.58,746.56,4.7
2025-04-22,Lima,Monitor,Tecnología,6,818.54,5,4665.68,3715.77,4.3
2025-04-23,Trujillo,Monitor,Tecnología,5,872.26,15,3707.11,3022.31,3.7
2025-04-24,Trujillo,Laptop,Tecnología,2,3246.1,10,5842.98,4820.59,4.3
2025-04-25,Trujillo,Teclado,Accesorios,7,178.22,15,1060.41,747.91,4.4
2025-04-26,Arequipa,Audífonos,Audio,7,241.9,0,1693.3,951.7,4.2
2025-04-27,Arequipa,Teclado,Accesorios,8,183.2,15,1245.76,844.23,4.5
2025-04-28,Arequipa,Teclado,Accesorios,6,176.65,20,847.92,621.19,4.0
2025-04-29,Trujillo,Monitor,Tecnología,6,855.52,0,5133.12,3736.46,4.2
2025-04-30,Lima,Teclado,Accesorios,8,173.97,20,1113.41,819.74,4.2
2025-05-01,Arequipa,Audífonos,Audio,7,247.57,15,1473.04,955.31,3.9
2025-05-02,Arequipa,Parlante,Audio,6,317.79,15,1620.73,1154.68,3.6
2025-05-03,Cusco,Mouse,Accesorios,3,98.01,0,294.03,157.23,4.4
2025-05-04,Cusco,Audífonos,Audio,6,241.97,20,1161.46,822.36,3.5
2025-05-05,Lima,Monitor,Tecnología,5,878.19,15,3732.31,3061.77,3.8
2025-05-06,Lima,Monitor,Tecnología,6,867.42,0,5204.52,3749.23,3.9
2025-05-07,Lima,Teclado,Accesorios,6,187.05,5,1066.19,645.45,4.6
2025-05-08,Arequipa,Teclado,Accesorios,5,175.78,5,834.95,534.89,3.8
2025-05-09,Cusco,Teclado,Accesorios,1,187.02,5,177.67,107.45,4.3
2025-05-10,Lima,Mouse,Accesorios,11,94.29,15,881.61,572.72,3.2
2025-05-11,Lima,Teclado,Accesorios,3,185.76,0,557.28,322.96,4.4
2025-05-12,Arequipa,Parlante,Audio,9,302.41,10,2449.52,1663.91,4.1
2025-05-13,Lima,Teclado,Accesorios,6,180.01,0,1080.06,630.02,4.0
2025-05-14,Lima,Teclado,Accesorios,7,179.48,0,1256.36,725.38,5.0
2025-05-15,Cusco,Audífonos,Audio,4,241.47,0,965.88,524.84,4.2
2025-05-16,Trujillo,Parlante,Audio,7,312.01,0,2184.07,1350.58,3.4
2025-05-17,Lima,Parlante,Audio,8,298.96,0,2391.68,1537.16,5.0
2025-05-18,Arequipa,Mouse,Accesorios,4,93.38,20,298.82,211.24,4.4
2025-05-19,Cusco,Teclado,Accesorios,2,177.42,0,354.84,211.38,4.9
2025-05-20,Lima,Audífonos,Audio,6,243.89,5,1390.17,803.1,3.0
2025-05-21,Trujillo,Monitor,Tecnología,4,851.58,0,3406.32,2390.97,4.1
2025-05-22,Cusco,Audífonos,Audio,8,238.6,5,1813.36,1082.5,4.1
2025-05-23,Cusco,Mouse,Accesorios,11,94.01,0,1034.11,570.53,4.7
2025-05-24,Lima,Laptop,Tecnología,6,3104.34,10,16763.44,14474.1,3.9
2025-05-25,Lima,Monitor,Tecnología,10,845.22,10,7606.98,6018.64,3.3
2025-05-26,Trujillo,Laptop,Tecnología,7,3261.43,0,22830.01,17439.02,4.7
2025-05-27,Lima,Mouse,Accesorios,8,94.01,10,676.87,410.61,4.2
2025-05-28,Arequipa,Audífonos,Audio,3,233.96,5,666.79,408.06,4.4
2025-05-29,Arequipa,Laptop,Tecnología,5,3268.69,10,14709.11,12165.76,3.8
2025-05-30,Cusco,Mouse,Accesorios,1,97.22,0,97.22,52.5,4.3
2025-05-31,Lima,Mouse,Accesorios,9,98.0,0,882.0,471.78,4.4
2025-06-01,Cusco,Teclado,Accesorios,6,180.48,0,1082.88,611.41,4.4
2025-06-02,Arequipa,Teclado,Accesorios,1,174.73,0,174.73,106.4,3.9
2025-06-03,Cusco,Monitor,Tecnología,3,878.89,0,2636.67,1859.45,4.2
2025-06-04,Cusco,Audífonos,Audio,8,244.17,0,1953.36,1048.58,3.7
2025-06-05,Trujillo,Teclado,Accesorios,4,175.31,0,701.24,420.35,3.7
2025-06-06,Trujillo,Teclado,Accesorios,5,175.71,5,834.62,511.14,3.8
2025-06-07,Lima,Audífonos,Audio,4,243.1,0,972.4,554.08,4.3
2025-06-08,Arequipa,Teclado,Accesorios,9,182.5,5,1560.38,935.66,3.9
2025-06-09,Cusco,Teclado,Accesorios,7,183.02,10,1153.03,746.0,3.9
2025-06-10,Cusco,Audífonos,Audio,1,246.86,5,234.52,134.99,4.3
2025-06-11,Arequipa,Audífonos,Audio,5,237.88,5,1129.93,687.2,3.7
2025-06-12,Lima,Mouse,Accesorios,7,91.67,0,641.69,367.69,3.8
2025-06-13,Lima,Mouse,Accesorios,9,98.44,10,797.36,470.74,4.2
2025-06-14,Lima,Mouse,Accesorios,3,93.86,15,239.34,152.36,4.6
2025-06-15,Lima,Monitor,Tecnología,1,858.26,0,858.26,600.78,4.3
2025-06-16,Trujillo,Mouse,Accesorios,4,95.33,0,381.32,203.5,3.5
2025-06-17,Cusco,Monitor,Tecnología,9,871.03,15,6663.38,5516.13,3.4
2025-06-18,Trujillo,Teclado,Accesorios,3,177.39,0,532.17,323.47,4.5
2025-06-19,Lima,Parlante,Audio,3,320.33,10,864.89,555.18,4.4
2025-06-20,Lima,Teclado,Accesorios,6,180.93,0,1085.58,634.17,4.2
2025-06-21,Lima,Audífonos,Audio,8,232.41,15,1580.39,1052.34,3.4
2025-06-22,Trujillo,Laptop,Tecnología,4,3218.79,0,12875.16,9587.44,3.8
2025-06-23,Trujillo,Teclado,Accesorios,6,173.37,5,988.21,643.82,3.7
2025-06-24,Arequipa,Teclado,Accesorios,4,177.92,20,569.34,417.21,4.0
2025-06-25,Cusco,Laptop,Tecnología,3,3202.22,5,9126.33,7559.93,4.5
2025-06-26,Trujillo,Laptop,Tecnología,1,3202.3,0,3202.3,2468.32,4.2
2025-06-27,Cusco,Laptop,Tecnología,3,3245.77,10,8763.58,7201.21,4.2
2025-06-28,Cusco,Teclado,Accesorios,5,186.28,20,745.12,520.42,4.2
2025-06-29,Arequipa,Parlante,Audio,5,322.28,0,1611.4,972.2,4.9
2025-06-30,Lima,Laptop,Tecnología,7,3215.81,0,22510.67,17449.23,3.8
2025-07-01,Cusco,Mouse,Accesorios,9,94.51,15,723.0,455.3,3.9
2025-07-02,Lima,Monitor,Tecnología,4,871.01,5,3309.84,2501.3,4.6
2025-07-03,Trujillo,Teclado,Accesorios,4,179.95,10,647.82,428.15,2.6
2025-07-04,Trujillo,Teclado,Accesorios,7,179.8,5,1195.67,744.01,4.4
2025-07-05,Cusco,Parlante,Audio,1,301.67,0,301.67,184.74,3.3
2025-07-06,Arequipa,Mouse,Accesorios,8,94.26,0,754.08,418.38,5.0
2025-07-07,Cusco,Mouse,Accesorios,6,95.45,0,572.7,316.95,4.4
2025-07-08,Arequipa,Audífonos,Audio,4,247.47,0,989.88,528.19,4.2
2025-07-09,Lima,Mouse,Accesorios,8,93.61,5,711.44,405.87,4.3
2025-07-10,Lima,Teclado,Accesorios,11,181.67,0,1998.37,1162.66,3.8
2025-07-11,Lima,Mouse,Accesorios,5,94.62,0,473.1,263.45,3.7
2025-07-12,Lima,Mouse,Accesorios,13,98.47,10,1152.1,688.94,3.5
2025-07-13,Cusco,Mouse,Accesorios,7,97.2,10,612.36,372.97,4.5
2025-07-14,Arequipa,Audífonos,Audio,4,234.71,5,891.9,528.22,4.7
2025-07-15,Arequipa,Laptop,Tecnología,1,3096.27,0,3096.27,2491.74,3.8
2025-07-16,Arequipa,Teclado,Accesorios,6,185.23,5,1055.81,621.13,3.9
2025-07-17,Trujillo,Parlante,Audio,2,301.03,20,481.65,379.84,3.7
2025-07-18,Trujillo,Parlante,Audio,9,301.51,20,2170.87,1718.41,4.3
2025-07-19,Arequipa,Mouse,Accesorios,5,91.28,5,433.58,252.21,4.8
2025-07-20,Trujillo,Monitor,Tecnología,8,876.57,0,7012.56,4969.4,3.8
2025-07-21,Lima,Teclado,Accesorios,8,185.26,10,1333.87,857.77,4.9
2025-07-22,Cusco,Mouse,Accesorios,5,95.4,20,381.6,259.99,4.7
2025-07-23,Trujillo,Teclado,Accesorios,10,177.65,0,1776.5,1079.13,4.3
2025-07-24,Lima,Audífonos,Audio,7,241.99,15,1439.84,917.44,4.0
2025-07-25,Trujillo,Monitor,Tecnología,4,834.97,20,2671.9,2381.07,4.6
2025-07-26,Lima,Teclado,Accesorios,8,177.39,0,1419.12,823.39,4.5
2025-07-27,Trujillo,Parlante,Audio,8,310.46,20,1986.94,1557.62,5.0
2025-07-28,Lima,Audífonos,Audio,9,243.37,5,2080.81,1217.27,3.3
2025-07-29,Arequipa,Mouse,Accesorios,8,93.48,10,673.06,425.47,4.2
2025-07-30,Arequipa,Monitor,Tecnología,8,850.44,0,6803.52,4846.66,3.9
2025-07-31,Trujillo,Audífonos,Audio,6,242.76,5,1383.73,822.28,4.1
2025-08-01,Arequipa,Teclado,Accesorios,8,177.58,0,1420.64,819.16,4.3
2025-08-02,Lima,Teclado,Accesorios,5,180.66,0,903.3,517.78,4.2
2025-08-03,Arequipa,Monitor,Tecnología,5,862.27,10,3880.22,3041.95,4.6
2025-08-04,Trujillo,Mouse,Accesorios,2,97.32,10,175.18,102.95,3.8
2025-08-05,Arequipa,Monitor,Tecnología,1,858.84,5,815.9,612.35,3.8
2025-08-06,Lima,Mouse,Accesorios,7,94.54,0,661.78,370.24,4.6
2025-08-07,Trujillo,Monitor,Tecnología,1,837.1,0,837.1,593.49,4.2
2025-08-08,Trujillo,Monitor,Tecnología,7,828.36,0,5798.52,4182.09,4.2
2025-08-09,Trujillo,Monitor,Tecnología,2,883.29,0,1766.58,1221.79,4.3
2025-08-10,Lima,Monitor,Tecnología,3,840.97,5,2396.76,1778.28,3.8
2025-08-11,Trujillo,Audífonos,Audio,5,248.83,10,1119.74,677.08,4.3
2025-08-12,Lima,Parlante,Audio,9,305.51,5,2612.11,1729.52,4.1
2025-08-13,Cusco,Mouse,Accesorios,8,96.18,15,654.02,405.43,4.0
2025-08-14,Arequipa,Audífonos,Audio,8,248.49,10,1789.13,1067.37,4.1
2025-08-15,Arequipa,Audífonos,Audio,6,243.09,5,1385.61,819.04,3.9
2025-08-16,Trujillo,Mouse,Accesorios,6,97.03,5,553.07,303.2,4.2
2025-08-17,Trujillo,Laptop,Tecnología,9,3093.09,0,27837.81,22152.85,3.4
2025-08-18,Arequipa,Mouse,Accesorios,5,95.37,0,476.85,265.46,4.5
2025-08-19,Trujillo,Mouse,Accesorios,6,98.78,0,592.68,309.86,4.4
2025-08-20,Cusco,Audífonos,Audio,5,235.4,20,941.6,662.49,4.1
2025-08-21,Cusco,Monitor,Tecnología,6,871.64,10,4706.86,3690.45,4.6
2025-08-22,Lima,Mouse,Accesorios,10,96.57,0,965.7,515.78,3.9
2025-08-23,Lima,Laptop,Tecnología,9,3224.48,5,27569.3,22311.58,4.7
2025-08-24,Arequipa,Laptop,Tecnología,7,3079.22,10,19399.09,16741.57,4.0
2025-08-25,Lima,Teclado,Accesorios,6,174.53,20,837.74,640.14,3.8
2025-08-26,Trujillo,Teclado,Accesorios,7,179.0,5,1190.35,712.98,3.9
2025-08-27,Arequipa,Teclado,Accesorios,4,177.15,0,708.6,421.41,4.8
2025-08-28,Trujillo,Parlante,Audio,7,301.09,0,2107.63,1308.49,3.6
2025-08-29,Trujillo,Laptop,Tecnología,1,3297.26,10,2967.53,2497.3,4.3
2025-08-30,Lima,Teclado,Accesorios,6,177.84,10,960.34,638.54,3.7
2025-08-31,Cusco,Mouse,Accesorios,4,97.28,0,389.12,206.33,3.6
2025-09-01,Lima,Teclado,Accesorios,12,183.47,0,2201.64,1234.29,4.5
2025-09-02,Cusco,Parlante,Audio,6,306.82,20,1472.74,1135.83,4.7
2025-09-03,Lima,Monitor,Tecnología,9,858.68,10,6955.31,5602.47,3.4
2025-09-04,Cusco,Teclado,Accesorios,6,176.36,5,1005.25,646.87,3.8
2025-09-05,Lima,Monitor,Tecnología,8,833.46,0,6667.68,4940.68,4.6
2025-09-06,Trujillo,Monitor,Tecnología,10,844.77,10,7602.93,6054.01,3.9
2025-09-07,Arequipa,Teclado,Accesorios,5,184.48,5,876.28,521.97,4.4
2025-09-08,Cusco,Laptop,Tecnología,5,3279.76,5,15578.86,11950.44,4.3
2025-09-09,Lima,Monitor,Tecnología,9,817.89,0,7361.01,5512.19,4.0
2025-09-10,Cusco,Mouse,Accesorios,3,92.56,0,277.68,152.68,4.5
2025-09-11,Arequipa,Teclado,Accesorios,7,176.26,15,1048.75,719.66,4.5
2025-09-12,Cusco,Audífonos,Audio,6,246.89,10,1333.21,803.69,3.5
2025-09-13,Trujillo,Audífonos,Audio,8,241.54,0,1932.32,1057.8,5.0
2025-09-14,Trujillo,Teclado,Accesorios,3,178.46,0,535.38,311.33,4.1
2025-09-15,Lima,Mouse,Accesorios,11,92.93,15,868.9,576.8,3.4
2025-09-16,Lima,Audífonos,Audio,4,231.79,10,834.44,554.86,3.2
2025-09-17,Trujillo,Monitor,Tecnología,7,864.73,0,6053.11,4212.61,3.9
2025-09-18,Trujillo,Monitor,Tecnología,3,816.91,20,1960.58,1797.09,4.2
2025-09-19,Arequipa,Monitor,Tecnología,12,864.41,5,9854.27,7442.9,4.6
2025-09-20,Cusco,Parlante,Audio,5,301.21,5,1430.75,966.75,3.9
2025-09-21,Lima,Teclado,Accesorios,5,186.92,0,934.6,528.41,4.1
2025-09-22,Lima,Monitor,Tecnología,7,873.41,5,5808.18,4305.27,4.0
2025-09-23,Trujillo,Audífonos,Audio,9,236.79,0,2131.11,1241.41,3.6
2025-09-24,Arequipa,Teclado,Accesorios,7,182.89,0,1280.23,737.39,4.2
2025-09-25,Lima,Audífonos,Audio,6,248.27,10,1340.66,812.81,3.7
2025-09-26,Lima,Mouse,Accesorios,4,94.58,0,378.32,212.41,4.5
2025-09-27,Lima,Mouse,Accesorios,8,95.3,0,762.4,412.24,4.3
2025-09-28,Cusco,Audífonos,Audio,6,234.18,0,1405.08,829.29,4.2
2025-09-29,Lima,Monitor,Tecnología,9,848.35,5,7253.39,5511.3,4.3
2025-09-30,Trujillo,Mouse,Accesorios,6,98.25,10,530.55,311.95,4.5
2025-10-01,Lima,Mouse,Accesorios,9,93.08,5,795.83,465.57,4.2
2025-10-02,Trujillo,Audífonos,Audio,4,240.66,5,914.51,543.68,4.0
2025-10-03,Arequipa,Mouse,Accesorios,10,94.92,10,854.28,513.02,3.2
2025-10-04,Trujillo,Audífonos,Audio,5,247.57,15,1052.17,688.73,4.1
2025-10-05,Lima,Monitor,Tecnología,11,849.59,20,7476.39,6587.87,3.4
2025-10-06,Lima,Parlante,Audio,6,307.0,0,1842.0,1169.89,4.2
2025-10-07,Arequipa,Mouse,Accesorios,3,91.86,5,261.8,157.28,4.0
2025-10-08,Trujillo,Teclado,Accesorios,7,177.1,0,1239.7,750.33,3.7
2025-10-09,Trujillo,Mouse,Accesorios,10,92.53,15,786.5,530.7,4.3
2025-10-10,Arequipa,Mouse,Accesorios,6,96.35,0,578.1,317.82,3.2
2025-10-11,Lima,Mouse,Accesorios,7,93.44,0,654.08,374.11,3.4
2025-10-12,Lima,Mouse,Accesorios,4,98.14,5,372.93,205.7,3.8
2025-10-13,Trujillo,Monitor,Tecnología,6,865.34,0,5192.04,3641.39,3.7
2025-10-14,Lima,Monitor,Tecnología,6,838.32,0,5029.92,3566.6,4.1
2025-10-15,Arequipa,Monitor,Tecnología,5,852.49,5,4049.33,3078.74,3.9
2025-10-16,Lima,Parlante,Audio,9,313.31,15,2396.82,1677.72,4.2
2025-10-17,Cusco,Mouse,Accesorios,5,97.41,0,487.05,258.39,4.7
2025-10-18,Trujillo,Parlante,Audio,3,305.28,0,915.84,567.35,4.3
2025-10-19,Arequipa,Teclado,Accesorios,4,183.9,15,625.26,427.31,3.7
2025-10-20,Lima,Audífonos,Audio,10,247.04,20,1976.32,1357.86,3.9
2025-10-21,Lima,Mouse,Accesorios,6,95.28,0,571.68,316.97,3.1
2025-10-22,Arequipa,Parlante,Audio,7,321.85,5,2140.3,1322.01,4.1
2025-10-23,Lima,Mouse,Accesorios,9,98.63,15,754.52,464.79,3.6
2025-10-24,Arequipa,Audífonos,Audio,9,247.18,5,2113.39,1194.09,4.0
2025-10-25,Trujillo,Teclado,Accesorios,1,177.28,0,177.28,104.84,4.4
2025-10-26,Trujillo,Teclado,Accesorios,9,173.0,0,1557.0,952.12,4.8
2025-10-27,Arequipa,Audífonos,Audio,7,237.35,0,1661.45,971.44,3.6
2025-10-28,Arequipa,Monitor,Tecnología,5,840.89,5,3994.23,3030.85,4.1
2025-10-29,Lima,Mouse,Accesorios,6,97.15,0,582.9,313.89,4.8
2025-10-30,Cusco,Parlante,Audio,2,299.96,10,539.93,375.11,4.2
2025-10-31,Lima,Parlante,Audio,9,300.66,0,2705.94,1701.33,4.1
2025-11-01,Lima,Monitor,Tecnología,11,857.18,10,8486.08,6719.89,3.8
2025-11-02,Cusco,Teclado,Accesorios,6,185.86,10,1003.64,621.77,4.4
2025-11-03,Cusco,Monitor,Tecnología,6,834.27,5,4755.34,3763.99,4.4
2025-11-04,Trujillo,Parlante,Audio,3,321.7,5,916.84,555.21,4.1
2025-11-05,Lima,Parlante,Audio,9,309.87,10,2509.95,1744.8,3.9
2025-11-06,Cusco,Parlante,Audio,6,314.95,10,1700.73,1154.3,3.8
2025-11-07,Lima,Teclado,Accesorios,8,183.22,0,1465.76,859.81,3.9
2025-11-08,Trujillo,Teclado,Accesorios,8,178.58,0,1428.64,839.23,4.2
2025-11-09,Cusco,Parlante,Audio,7,321.89,0,2253.23,1295.06,4.5
2025-11-10,Lima,Parlante,Audio,7,322.15,0,2255.05,1299.26,4.0
2025-11-11,Arequipa,Mouse,Accesorios,5,96.6,5,458.85,254.8,5.0
2025-11-12,Arequipa,Parlante,Audio,8,298.92,0,2391.36,1556.05,4.2
2025-11-13,Trujillo,Audífonos,Audio,8,236.12,0,1888.96,1094.0,4.8
